date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:53	770/770	U--MC-	200	updated ('OK')	text/plain	date:Thu,%2009%20May%202013%2012:28:53%20GMT	http://lebd2013.wordpress.com/robots.txt		(from )
13:28:53	23915/23915	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:53%20GMT	http://lebd2013.wordpress.com/	lebd2013.wordpress.com/index.html	(from )
13:28:54	1522/1522	---MC-	404	error ('Not%20Found')	text/xml	date:Thu,%2009%20May%202013%2012:28:54%20GMT	http://lebd2013.wordpress.com/feed/	lebd2013.wordpress.com/feed/index.html	(from http://lebd2013.wordpress.com/)
13:28:54	42/42	U--MC-	200	updated ('OK')	text/plain	date:Thu,%2009%20May%202013%2012:28:54%20GMT	http://lebd2013.wordpress.com/xmlrpc.php	lebd2013.wordpress.com/xmlrpc.php	(from http://lebd2013.wordpress.com/)
13:28:54	869/869	U--MC-	200	updated ('OK')	text/xml	date:Thu,%2009%20May%202013%2012:28:54%20GMT	http://lebd2013.wordpress.com/xmlrpc.php?rsd	lebd2013.wordpress.com/xmlrpc0db0.php	(from http://lebd2013.wordpress.com/)
13:28:55	1525/1525	---MC-	404	error ('Not%20Found')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://lebd2013.wordpress.com/comments/feed/	lebd2013.wordpress.com/comments/feed/index.html	(from http://lebd2013.wordpress.com/)
13:28:55	10083/10083	U-----	200	untouched ('')	image/png	date:Sun,%2016%20Dec%202012%2007:37:41%20GMT	http://s0.wp.com/i/webclip.png?m=1355642671g	s0.wp.com/i/webclipd263.png	(from http://lebd2013.wordpress.com/)
13:28:55	19285/19285	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:55%20GMT	http://lebd2013.wordpress.com/about/	lebd2013.wordpress.com/about/index.html	(from http://lebd2013.wordpress.com/)
13:28:56	24/24	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:55%20GMT	http://lebd2013.wordpress.com/?openidserver=1	lebd2013.wordpress.com/indexdd8f.html	(from http://lebd2013.wordpress.com/)
13:28:56	19030/19030	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:55%20GMT	http://lebd2013.wordpress.com/thermal-modelling-demand-reduction/	lebd2013.wordpress.com/thermal-modelling-demand-reduction/index.html	(from http://lebd2013.wordpress.com/)
13:28:56	1377/1377	U--MC-	200	updated ('OK')	application/xml	date:Thu,%2009%20May%202013%2012:28:55%20GMT	http://lebd2013.wordpress.com/osd.xml	lebd2013.wordpress.com/osd.xml	(from http://lebd2013.wordpress.com/)
13:28:56	18314/18314	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:56%20GMT	http://lebd2013.wordpress.com/site-analysis/	lebd2013.wordpress.com/site-analysis/index.html	(from http://lebd2013.wordpress.com/)
13:28:57	20783/20783	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:57%20GMT	http://lebd2013.wordpress.com/site-analysis/map-and-location/	lebd2013.wordpress.com/site-analysis/map-and-location/index.html	(from http://lebd2013.wordpress.com/)
13:28:57	19032/19032	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:56%20GMT	http://lebd2013.wordpress.com/site-analysis/design-brief/	lebd2013.wordpress.com/site-analysis/design-brief/index.html	(from http://lebd2013.wordpress.com/)
13:28:57	19590/19590	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:57%20GMT	http://lebd2013.wordpress.com/site-analysis/climate-2/	lebd2013.wordpress.com/site-analysis/climate-2/index.html	(from http://lebd2013.wordpress.com/)
13:28:58	18350/18350	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:57%20GMT	http://lebd2013.wordpress.com/design/	lebd2013.wordpress.com/design/index.html	(from http://lebd2013.wordpress.com/)
13:28:58	19188/19188	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:58%20GMT	http://lebd2013.wordpress.com/design/location-and-orientation/	lebd2013.wordpress.com/design/location-and-orientation/index.html	(from http://lebd2013.wordpress.com/)
13:28:59	18251/18251	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:58%20GMT	http://lebd2013.wordpress.com/design/geometry/	lebd2013.wordpress.com/design/geometry/index.html	(from http://lebd2013.wordpress.com/)
13:28:59	23061/23061	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:58%20GMT	http://lebd2013.wordpress.com/design/geometry/geometry-development/	lebd2013.wordpress.com/design/geometry/geometry-development/index.html	(from http://lebd2013.wordpress.com/)
13:29:00	20432/20432	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:59%20GMT	http://lebd2013.wordpress.com/design/geometry/3d-renders/	lebd2013.wordpress.com/design/geometry/3d-renders/index.html	(from http://lebd2013.wordpress.com/)
13:29:00	20505/20505	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:58%20GMT	http://lebd2013.wordpress.com/design/geometry/2d-plans/	lebd2013.wordpress.com/design/geometry/2d-plans/index.html	(from http://lebd2013.wordpress.com/)
13:29:00	24950/24950	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:28:59%20GMT	http://lebd2013.wordpress.com/design/materials/	lebd2013.wordpress.com/design/materials/index.html	(from http://lebd2013.wordpress.com/)
13:29:01	29787/29787	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:00%20GMT	http://lebd2013.wordpress.com/thermal-modelling-demand-reduction/evolution-of-the-thermal-model/	lebd2013.wordpress.com/thermal-modelling-demand-reduction/evolution-of-the-thermal-model/index.html	(from http://lebd2013.wordpress.com/)
13:29:01	19120/19120	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:00%20GMT	http://lebd2013.wordpress.com/lighting/	lebd2013.wordpress.com/lighting/index.html	(from http://lebd2013.wordpress.com/)
13:29:01	19801/19801	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:00%20GMT	http://lebd2013.wordpress.com/thermal-modelling-demand-reduction/iteration-summary/	lebd2013.wordpress.com/thermal-modelling-demand-reduction/iteration-summary/index.html	(from http://lebd2013.wordpress.com/)
13:29:01	20637/20637	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:00%20GMT	http://lebd2013.wordpress.com/thermal-modelling-demand-reduction/comfort-analysis/	lebd2013.wordpress.com/thermal-modelling-demand-reduction/comfort-analysis/index.html	(from http://lebd2013.wordpress.com/)
13:29:01	9373/9373	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20May%202013%2011:23:03%20GMT	http://lebd2013.files.wordpress.com/2013/05/timber-cladding.jpg	lebd2013.files.wordpress.com/2013/05/timber-cladding.jpg	(from http://lebd2013.wordpress.com/)
13:29:02	24203/24203	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:01%20GMT	http://lebd2013.wordpress.com/lighting/dialux-4-11/	lebd2013.wordpress.com/lighting/dialux-4-11/index.html	(from http://lebd2013.wordpress.com/)
13:29:02	19851/19851	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:01%20GMT	http://lebd2013.wordpress.com/lighting/requirements/	lebd2013.wordpress.com/lighting/requirements/index.html	(from http://lebd2013.wordpress.com/)
13:29:02	22919/22919	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:01%20GMT	http://lebd2013.wordpress.com/lighting/dialux-evo/	lebd2013.wordpress.com/lighting/dialux-evo/index.html	(from http://lebd2013.wordpress.com/)
13:29:04	19971/19971	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:04%20GMT	http://lebd2013.wordpress.com/lighting/annual-demand/	lebd2013.wordpress.com/lighting/annual-demand/index.html	(from http://lebd2013.wordpress.com/)
13:29:04	21565/21565	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:04%20GMT	http://lebd2013.wordpress.com/energy-systems/	lebd2013.wordpress.com/energy-systems/index.html	(from http://lebd2013.wordpress.com/)
13:29:05	20109/20109	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:04%20GMT	http://lebd2013.wordpress.com/energy-systems/appliance-demand/	lebd2013.wordpress.com/energy-systems/appliance-demand/index.html	(from http://lebd2013.wordpress.com/)
13:29:05	21831/21831	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:04%20GMT	http://lebd2013.wordpress.com/energy-systems/ground-source-heat-pump-selection/	lebd2013.wordpress.com/energy-systems/ground-source-heat-pump-selection/index.html	(from http://lebd2013.wordpress.com/)
13:29:06	20405/20405	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:05%20GMT	http://lebd2013.wordpress.com/hot-water-demand/	lebd2013.wordpress.com/hot-water-demand/index.html	(from http://lebd2013.wordpress.com/)
13:29:06	19954/19954	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:05%20GMT	http://lebd2013.wordpress.com/energy-systems/mvhr-selection/	lebd2013.wordpress.com/energy-systems/mvhr-selection/index.html	(from http://lebd2013.wordpress.com/)
13:29:06	23955/23955	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:06%20GMT	http://lebd2013.wordpress.com/energy-generation/	lebd2013.wordpress.com/energy-generation/index.html	(from http://lebd2013.wordpress.com/)
13:29:07	453667/453667	U-----	200	untouched ('')	image/jpeg	date:Fri,%2003%20May%202013%2020:07:16%20GMT	http://lebd2013.files.wordpress.com/2013/05/angolo-sinistro1.jpg	lebd2013.files.wordpress.com/2013/05/angolo-sinistro1.jpg	(from http://lebd2013.wordpress.com/)
13:29:07	22019/22019	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:29:06%20GMT	http://lebd2013.wordpress.com/data-integration/	lebd2013.wordpress.com/data-integration/index.html	(from http://lebd2013.wordpress.com/)
